image_id,split,file_name,zero_gt,annotation_count,class_count
1,train,train/0005e8e3701dfb1dd93d53e2ff537b6e.jpg,0,5,4
2,test,train/0007d316f756b3fa0baea2ff514ce945.jpg,0,11,5
3,val,train/000d68e42b71d3eac10ccc077aba07c1.jpg,0,16,5
4,train,train/00150343289f317a0ad5629d5b7d9ef9.jpg,0,17,7
5,train,train/001d127bad87592efe45a5c7678f8b8d.jpg,0,6,2
6,val,train/00291f7aff0123ea76a59998effef229.jpg,1,0,0
7,train,train/0046f681f078851293c4e710c4466058.jpg,0,11,4
8,train,train/004d2bc2111d639f5e8441ced52d55cb.jpg,1,0,0
9,train,train/0061cf6d35e253b6e7f03940592cc35e.jpg,0,7,4
10,val,train/00675cd546313f912cadd4ad54415d69.jpg,0,6,2
11,train,train/008b3176a7248a0a189b5731ac8d2e95.jpg,0,12,4
12,train,train/009d4c31ebf87e51c5c8c160a4bd8006.jpg,0,9,5
13,train,train/009d837e29ba400e03856cf8d6a5b545.jpg,0,5,2
14,test,train/00a9f697d85a506d5b281f588addce4e.jpg,1,0,0
15,train,train/00aca42a24e4ea6066cca2546150c36e.jpg,0,9,5
16,train,train/00bcb82818ea83d6a86df241762cd7d0.jpg,0,5,5
17,train,train/00e25f831ccd21bd41b558cfccbf1be7.jpg,1,0,0
18,train,train/00f2f97f74e086e1f82acc285ee4a5c5.jpg,0,8,5
19,val,train/010018c93ed33ae56ed048ee54867e46.jpg,0,18,5
20,train,train/0108949daa13dc94634a7d650a05c0bb.jpg,0,6,2
21,train,train/010a3dbb67bc37800a041866844861b1.jpg,0,8,4
22,test,train/011244ab511b20130d846f5f8f0c3866.jpg,0,3,1
23,val,train/0114c5cd093c742334d5a5fa14140421.jpg,0,9,5
24,train,train/011ae9520e81f1efe71c9d954ec07d09.jpg,0,18,8
25,train,train/013893a5fa90241c65c3efcdbdd2cec1.jpg,0,8,5
26,train,train/014e3dd712dc90f61da7ce8747d8c4c0.jpg,0,3,2
27,train,train/01546d3e6175ceaabd7d92f0c566579d.jpg,0,6,4
28,train,train/01570ee44031e4ebab6031501293bf66.jpg,0,7,5
29,train,train/015d74d7d2667a9b93b8909283af38c8.jpg,1,0,0
30,train,train/015e332b702e4829710941ab7265bd1d.jpg,0,5,2
31,train,train/0162dad8330007f8f0daf43bcf4033f1.jpg,0,7,4
32,train,train/0187da5fd71c7a2917346bf12a67bbe4.jpg,0,3,1
33,train,train/01892129d76aaa1f59d4b22df8a14c0b.jpg,1,0,0
34,train,train/018a2fe44c3451281ec338c27ecc9c53.jpg,0,15,6
35,test,train/018b348fd699821cdbc5bdc0b329982c.jpg,0,5,4
36,train,train/018ef9c5d5b20c5161a5c48703171c3b.jpg,0,3,2
37,train,train/01a3c3d994d85ce5634d2d13c03fd4b0.jpg,0,14,5
38,train,train/01afcfaabc406f0fe1797cb7fa6616c6.jpg,0,6,2
39,test,train/01b0510a8d3b0860429536653db5eb21.jpg,0,8,5
40,val,train/01c2b9fcb0384c84648ed76c736552a8.jpg,0,7,3
41,val,train/01cbbeab94b4d2bfd5cd8a467fee46a7.jpg,0,9,4
42,train,train/01d6446afde9fbf4332904bc331e9660.jpg,0,6,4
43,train,train/01ee6e560f083255a630c41bba779405.jpg,0,12,6
44,train,train/01f88c998eea22d21ee144bc3edfd261.jpg,0,3,1
45,train,train/01fec681f2d698497151a88d6c5205a1.jpg,0,7,3
46,train,train/020717d6ab0b440b37978d9bace9f9b2.jpg,0,10,5
47,train,train/0211f9fe31142ba1e25fb6a2ea3fea38.jpg,0,8,4
48,train,train/021ed4f8af985c0fc68335abb2cf2ed7.jpg,0,3,1
