image_id,in_labeled_1pct,in_labeled_5pct,in_labeled_10pct,in_labeled_20pct,zero_gt,annotation_count,class_count
1,0,0,0,0,0,5,4
4,0,0,0,0,0,17,7
5,0,0,0,0,0,6,2
7,0,0,0,0,0,11,4
8,0,0,0,0,1,0,0
9,0,0,0,0,0,7,4
11,0,0,0,0,0,12,4
12,0,0,0,0,0,9,5
13,0,0,0,0,0,5,2
15,0,0,0,0,0,9,5
16,0,0,0,0,0,5,5
17,0,0,0,1,1,0,0
18,0,0,0,0,0,8,5
20,0,0,0,0,0,6,2
21,0,0,0,0,0,8,4
24,0,0,0,0,0,18,8
25,0,0,0,1,0,8,5
26,0,0,0,0,0,3,2
27,0,0,0,0,0,6,4
28,0,0,0,0,0,7,5
29,0,0,0,0,1,0,0
30,0,0,1,1,0,5,2
31,0,0,0,0,0,7,4
32,0,0,0,0,0,3,1
33,0,0,0,0,1,0,0
34,0,0,0,0,0,15,6
36,0,0,0,0,0,3,2
37,0,0,0,0,0,14,5
38,0,0,0,1,0,6,2
42,0,0,0,0,0,6,4
43,0,0,0,0,0,12,6
44,0,0,0,0,0,3,1
45,0,0,0,0,0,7,3
46,0,0,0,0,0,10,5
47,0,1,1,1,0,8,4
48,0,0,0,1,0,3,1
51,0,0,0,0,0,23,3
52,0,0,0,0,0,5,2
53,0,0,0,1,0,18,4
57,0,0,0,0,0,5,2
58,0,0,0,0,0,14,7
59,0,0,0,0,0,7,3
60,0,0,0,0,1,0,0
62,0,0,0,0,0,7,4
63,0,0,0,0,0,6,2
64,0,0,0,0,0,6,2
66,0,0,0,0,1,0,0
68,0,0,0,0,0,7,3
69,0,0,0,0,0,9,4
70,0,0,0,0,0,5,2
71,0,0,0,0,0,19,8
72,0,0,0,0,0,8,5
74,0,0,0,0,1,0,0
75,0,0,0,0,0,5,2
76,0,0,0,0,0,6,2
77,0,0,0,0,0,5,2
79,0,0,0,0,0,5,2
80,0,0,0,0,0,5,3
81,0,0,0,0,0,10,5
83,0,0,0,0,0,6,2
85,0,0,0,0,0,7,3
86,0,0,0,0,0,3,1
87,0,0,0,0,0,3,1
89,0,0,0,0,0,8,5
91,0,1,1,1,0,8,3
92,0,0,0,0,0,6,2
93,0,0,1,1,0,6,5
94,0,0,0,0,0,3,1
96,0,0,0,1,0,4,2
97,0,0,0,0,0,5,2
98,0,0,0,0,0,6,3
99,0,0,0,0,0,6,2
100,0,0,0,0,0,8,4
101,0,0,0,0,0,9,3
102,0,0,0,0,0,5,2
103,0,0,0,0,0,8,5
106,0,0,0,0,0,8,3
107,0,0,0,0,0,9,3
109,0,0,0,0,0,7,3
