budget,class_name,labeled_image_count,train_prevalence,labeled_prevalence,absolute_deviation
1pct,Aortic enlargement,21,1072/1713,21/34,475/58242
1pct,Atelectasis,1,65/1713,1/34,497/58242
1pct,Calcification,3,157/1713,3/34,199/58242
1pct,Cardiomegaly,16,1607/3426,8/17,89/58242
1pct,Consolidation,2,41/571,1/17,126/9707
1pct,ILD,3,134/1713,3/34,583/58242
1pct,Infiltration,4,214/1713,2/17,212/29121
1pct,Lung Opacity,9,923/3426,9/34,137/29121
1pct,Nodule/Mass,6,96/571,3/17,81/9707
1pct,Other lesion,8,791/3426,4/17,257/58242
1pct,Pleural effusion,7,120/571,7/34,83/19414
1pct,Pleural thickening,14,692/1713,7/17,227/29121
1pct,Pneumothorax,1,11/571,1/34,197/19414
1pct,Pulmonary fibrosis,11,565/1713,11/34,367/58242
5pct,Aortic enlargement,107,1072/1713,107/171,7/97641
5pct,Atelectasis,6,65/1713,2/57,31/10849
5pct,Calcification,16,157/1713,16/171,187/97641
5pct,Cardiomegaly,80,1607/3426,80/171,239/195282
5pct,Consolidation,12,41/571,4/57,53/32547
5pct,ILD,13,134/1713,13/171,215/97641
5pct,Infiltration,21,214/1713,7/57,23/10849
5pct,Lung Opacity,46,923/3426,46/171,79/195282
5pct,Nodule/Mass,29,96/571,29/171,143/97641
5pct,Other lesion,39,791/3426,13/57,61/21698
5pct,Pleural effusion,36,120/571,4/19,4/10849
5pct,Pleural thickening,69,692/1713,23/57,5/10849
5pct,Pneumothorax,3,11/571,1/57,56/32547
5pct,Pulmonary fibrosis,56,565/1713,56/171,229/97641
10pct,Aortic enlargement,215,1072/1713,215/343,599/587559
10pct,Atelectasis,13,65/1713,13/343,26/587559
10pct,Calcification,31,157/1713,31/343,748/587559
10pct,Cardiomegaly,161,1607/3426,23/49,55/167874
10pct,Consolidation,25,41/571,25/343,212/195853
10pct,ILD,27,134/1713,27/343,289/587559
10pct,Infiltration,43,214/1713,43/343,257/587559
10pct,Lung Opacity,92,923/3426,92/343,1397/1175118
10pct,Nodule/Mass,58,96/571,58/343,190/195853
10pct,Other lesion,79,791/3426,79/343,659/1175118
10pct,Pleural effusion,72,120/571,72/343,48/195853
10pct,Pleural thickening,139,692/1713,139/343,751/587559
10pct,Pneumothorax,7,11/571,1/49,32/27979
10pct,Pulmonary fibrosis,113,565/1713,113/343,226/587559
20pct,Aortic enlargement,429,1072/1713,429/685,557/1173405
20pct,Atelectasis,26,65/1713,26/685,13/1173405
20pct,Calcification,63,157/1713,63/685,374/1173405
20pct,Cardiomegaly,321,1607/3426,321/685,1049/2346810
20pct,Consolidation,49,41/571,49/685,106/391135
20pct,ILD,54,134/1713,54/685,712/1173405
20pct,Infiltration,86,214/1713,86/685,728/1173405
20pct,Lung Opacity,185,923/3426,37/137,311/469362
20pct,Nodule/Mass,115,96/571,23/137,19/78227
20pct,Other lesion,158,791/3426,158/685,527/2346810
20pct,Pleural effusion,144,120/571,144/685,24/391135
20pct,Pleural thickening,277,692/1713,277/685,481/1173405
20pct,Pneumothorax,13,11/571,13/685,112/391135
20pct,Pulmonary fibrosis,226,565/1713,226/685,113/1173405
