category_id_a,class_name_a,category_id_b,class_name_b,n_a_images,n_b_images,n_both_images,n_union_images,jaccard
1,Aortic enlargement,2,Atelectasis,2144,130,52,2222,0.023402340234023402
1,Aortic enlargement,3,Calcification,2144,314,210,2248,0.09341637010676157
1,Aortic enlargement,4,Cardiomegaly,2144,1607,1373,2378,0.5773759461732548
1,Aortic enlargement,5,Consolidation,2144,246,107,2283,0.04686815593517302
1,Aortic enlargement,6,ILD,2144,268,159,2253,0.07057256990679095
1,Aortic enlargement,7,Infiltration,2144,428,208,2364,0.08798646362098139
1,Aortic enlargement,8,Lung Opacity,2144,923,524,2543,0.2060558395595753
1,Aortic enlargement,9,Nodule/Mass,2144,576,347,2373,0.146228402865571
1,Aortic enlargement,10,Other lesion,2144,791,501,2434,0.2058340180772391
1,Aortic enlargement,11,Pleural effusion,2144,720,394,2470,0.15951417004048582
1,Aortic enlargement,12,Pleural thickening,2144,1384,927,2601,0.356401384083045
1,Aortic enlargement,13,Pneumothorax,2144,66,23,2187,0.010516689529035207
1,Aortic enlargement,14,Pulmonary fibrosis,2144,1130,644,2630,0.24486692015209124
2,Atelectasis,3,Calcification,130,314,25,419,0.059665871121718374
2,Atelectasis,4,Cardiomegaly,130,1607,28,1709,0.016383850204798128
2,Atelectasis,5,Consolidation,130,246,45,331,0.13595166163141995
2,Atelectasis,6,ILD,130,268,14,384,0.036458333333333336
2,Atelectasis,7,Infiltration,130,428,33,525,0.06285714285714286
2,Atelectasis,8,Lung Opacity,130,923,74,979,0.0755873340143003
2,Atelectasis,9,Nodule/Mass,130,576,31,675,0.045925925925925926
2,Atelectasis,10,Other lesion,130,791,58,863,0.06720741599073002
2,Atelectasis,11,Pleural effusion,130,720,61,789,0.07731305449936629
2,Atelectasis,12,Pleural thickening,130,1384,84,1430,0.05874125874125874
2,Atelectasis,13,Pneumothorax,130,66,14,182,0.07692307692307693
2,Atelectasis,14,Pulmonary fibrosis,130,1130,90,1170,0.07692307692307693
3,Calcification,4,Cardiomegaly,314,1607,121,1800,0.06722222222222222
3,Calcification,5,Consolidation,314,246,19,541,0.03512014787430684
3,Calcification,6,ILD,314,268,34,548,0.06204379562043796
3,Calcification,7,Infiltration,314,428,27,715,0.03776223776223776
3,Calcification,8,Lung Opacity,314,923,80,1157,0.06914433880726016
3,Calcification,9,Nodule/Mass,314,576,130,760,0.17105263157894737
3,Calcification,10,Other lesion,314,791,122,983,0.12410986775178026
3,Calcification,11,Pleural effusion,314,720,57,977,0.05834186284544524
3,Calcification,12,Pleural thickening,314,1384,169,1529,0.1105297580117724
3,Calcification,13,Pneumothorax,314,66,2,378,0.005291005291005291
3,Calcification,14,Pulmonary fibrosis,314,1130,157,1287,0.12198912198912198
4,Cardiomegaly,5,Consolidation,1607,246,71,1782,0.03984287317620651
4,Cardiomegaly,6,ILD,1607,268,84,1791,0.04690117252931323
4,Cardiomegaly,7,Infiltration,1607,428,116,1919,0.06044815007816571
4,Cardiomegaly,8,Lung Opacity,1607,923,342,2188,0.1563071297989031
4,Cardiomegaly,9,Nodule/Mass,1607,576,190,1993,0.09533366783743101
4,Cardiomegaly,10,Other lesion,1607,791,357,2041,0.1749142577168055
4,Cardiomegaly,11,Pleural effusion,1607,720,233,2094,0.11127029608404966
4,Cardiomegaly,12,Pleural thickening,1607,1384,587,2404,0.24417637271214643
4,Cardiomegaly,13,Pneumothorax,1607,66,11,1662,0.006618531889290012
4,Cardiomegaly,14,Pulmonary fibrosis,1607,1130,360,2377,0.15145140933950357
5,Consolidation,6,ILD,246,268,23,491,0.04684317718940937
5,Consolidation,7,Infiltration,246,428,96,578,0.16608996539792387
5,Consolidation,8,Lung Opacity,246,923,210,959,0.21897810218978103
5,Consolidation,9,Nodule/Mass,246,576,89,733,0.12141882673942701
5,Consolidation,10,Other lesion,246,791,75,962,0.07796257796257797
5,Consolidation,11,Pleural effusion,246,720,138,828,0.16666666666666666
5,Consolidation,12,Pleural thickening,246,1384,137,1493,0.09176155391828533
5,Consolidation,13,Pneumothorax,246,66,20,292,0.0684931506849315
5,Consolidation,14,Pulmonary fibrosis,246,1130,136,1240,0.10967741935483871
6,ILD,7,Infiltration,268,428,104,592,0.17567567567567569
6,ILD,8,Lung Opacity,268,923,93,1098,0.08469945355191257
6,ILD,9,Nodule/Mass,268,576,58,786,0.0737913486005089
6,ILD,10,Other lesion,268,791,93,966,0.09627329192546584
6,ILD,11,Pleural effusion,268,720,83,905,0.09171270718232044
6,ILD,12,Pleural thickening,268,1384,152,1500,0.10133333333333333
6,ILD,13,Pneumothorax,268,66,2,332,0.006024096385542169
6,ILD,14,Pulmonary fibrosis,268,1130,145,1253,0.11572226656025539
7,Infiltration,8,Lung Opacity,428,923,263,1088,0.2417279411764706
7,Infiltration,9,Nodule/Mass,428,576,84,920,0.09130434782608696
7,Infiltration,10,Other lesion,428,791,116,1103,0.10516772438803264
7,Infiltration,11,Pleural effusion,428,720,157,991,0.1584258324924319
7,Infiltration,12,Pleural thickening,428,1384,223,1589,0.14033983637507866
7,Infiltration,13,Pneumothorax,428,66,7,487,0.014373716632443531
7,Infiltration,14,Pulmonary fibrosis,428,1130,300,1258,0.2384737678855326
8,Lung Opacity,9,Nodule/Mass,923,576,267,1232,0.21672077922077923
8,Lung Opacity,10,Other lesion,923,791,324,1390,0.23309352517985613
8,Lung Opacity,11,Pleural effusion,923,720,393,1250,0.3144
8,Lung Opacity,12,Pleural thickening,923,1384,502,1805,0.27811634349030473
8,Lung Opacity,13,Pneumothorax,923,66,36,953,0.03777544596012592
8,Lung Opacity,14,Pulmonary fibrosis,923,1130,481,1572,0.3059796437659033
9,Nodule/Mass,10,Other lesion,576,791,234,1133,0.20653133274492497
9,Nodule/Mass,11,Pleural effusion,576,720,144,1152,0.125
9,Nodule/Mass,12,Pleural thickening,576,1384,284,1676,0.16945107398568018
9,Nodule/Mass,13,Pneumothorax,576,66,9,633,0.014218009478672985
9,Nodule/Mass,14,Pulmonary fibrosis,576,1130,272,1434,0.1896792189679219
10,Other lesion,11,Pleural effusion,791,720,249,1262,0.19730586370839936
10,Other lesion,12,Pleural thickening,791,1384,427,1748,0.244279176201373
10,Other lesion,13,Pneumothorax,791,66,31,826,0.03753026634382567
10,Other lesion,14,Pulmonary fibrosis,791,1130,357,1564,0.22826086956521738
11,Pleural effusion,12,Pleural thickening,720,1384,581,1523,0.381483913328956
11,Pleural effusion,13,Pneumothorax,720,66,39,747,0.05220883534136546
11,Pleural effusion,14,Pulmonary fibrosis,720,1130,361,1489,0.24244459368703827
12,Pleural thickening,13,Pneumothorax,1384,66,43,1407,0.030561478322672354
12,Pleural thickening,14,Pulmonary fibrosis,1384,1130,665,1849,0.35965386695511087
13,Pneumothorax,14,Pulmonary fibrosis,66,1130,24,1172,0.020477815699658702
