category_id,class_name,image_count,image_prevalence,bbox_annotation_count,bbox_annotation_share,bbox_per_positive_image,rare_flag
1,Aortic enlargement,2144,0.6258026853473438,5021,0.19877276326207444,2.341884328358209,false
4,Cardiomegaly,1607,0.46906012842965555,3827,0.15150435471100554,2.3814561294337273,false
12,Pleural thickening,1384,0.40396964389959134,3415,0.13519398258115597,2.467485549132948,false
14,Pulmonary fibrosis,1130,0.3298307063631057,3271,0.12949326999208235,2.8946902654867257,false
8,Lung Opacity,923,0.26941039112667836,1728,0.0684085510688836,1.8721560130010835,false
10,Other lesion,791,0.23088149445417397,1501,0.05942201108471892,1.897597977243995,false
11,Pleural effusion,720,0.21015761821366025,1779,0.07042755344418052,2.470833333333333,false
9,Nodule/Mass,576,0.1681260945709282,1790,0.07086302454473475,3.107638888888889,false
7,Infiltration,428,0.12492702860478692,879,0.03479809976247031,2.053738317757009,false
3,Calcification,314,0.09165207238762405,665,0.02632620744259699,2.1178343949044587,false
6,ILD,268,0.07822533566841798,658,0.026049089469517023,2.455223880597015,false
5,Consolidation,246,0.07180385288966724,390,0.015439429928741092,1.5853658536585367,false
2,Atelectasis,130,0.03794512551079977,194,0.007680126682501979,1.4923076923076923,true
13,Pneumothorax,66,0.01926444833625219,142,0.0056215360253365,2.1515151515151514,true
