budget,labeled_image_count,negative_image_count,negative_prevalence,class_coverage_out_of_14,category_id,class_name,image_count,image_prevalence,train_image_count,train_image_prevalence,absolute_deviation_from_train,train_rare_flag,rare_class_support,coverage_present,budget_max_absolute_deviation,budget_mean_absolute_deviation
1pct,34,3,0.08823529411764706,14,1,Aortic enlargement,21,0.6176470588235294,2144,0.6258026853473438,0.008155626523814408,false,0,true,0.012980323477902539,0.006991763430415951
1pct,34,3,0.08823529411764706,14,2,Atelectasis,1,0.029411764705882353,130,0.03794512551079977,0.008533360804917414,true,1,true,0.012980323477902539,0.006991763430415951
1pct,34,3,0.08823529411764706,14,3,Calcification,3,0.08823529411764706,314,0.09165207238762405,0.0034167782699769805,false,0,true,0.012980323477902539,0.006991763430415951
1pct,34,3,0.08823529411764706,14,4,Cardiomegaly,16,0.47058823529411764,1607,0.46906012842965555,0.0015281068644620865,false,0,true,0.012980323477902539,0.006991763430415951
1pct,34,3,0.08823529411764706,14,5,Consolidation,2,0.058823529411764705,246,0.07180385288966724,0.012980323477902539,false,0,true,0.012980323477902539,0.006991763430415951
1pct,34,3,0.08823529411764706,14,6,ILD,3,0.08823529411764706,268,0.07822533566841798,0.010009958449229084,false,0,true,0.012980323477902539,0.006991763430415951
1pct,34,3,0.08823529411764706,14,7,Infiltration,4,0.11764705882352941,428,0.12492702860478692,0.007279969781257514,false,0,true,0.012980323477902539,0.006991763430415951
1pct,34,3,0.08823529411764706,14,8,Lung Opacity,9,0.2647058823529412,923,0.26941039112667836,0.004704508773737182,false,0,true,0.012980323477902539,0.006991763430415951
1pct,34,3,0.08823529411764706,14,9,Nodule/Mass,6,0.17647058823529413,576,0.1681260945709282,0.008344493664365932,false,0,true,0.012980323477902539,0.006991763430415951
1pct,34,3,0.08823529411764706,14,10,Other lesion,8,0.23529411764705882,791,0.23088149445417397,0.004412623192884851,false,0,true,0.012980323477902539,0.006991763430415951
1pct,34,3,0.08823529411764706,14,11,Pleural effusion,7,0.20588235294117646,720,0.21015761821366025,0.004275265272483786,false,0,true,0.012980323477902539,0.006991763430415951
1pct,34,3,0.08823529411764706,14,12,Pleural thickening,14,0.4117647058823529,1384,0.40396964389959134,0.007795061982761586,false,0,true,0.012980323477902539,0.006991763430415951
1pct,34,3,0.08823529411764706,14,13,Pneumothorax,1,0.029411764705882353,66,0.01926444833625219,0.010147316369630163,true,1,true,0.012980323477902539,0.006991763430415951
1pct,34,3,0.08823529411764706,14,14,Pulmonary fibrosis,11,0.3235294117647059,1130,0.3298307063631057,0.006301294598399787,false,0,true,0.012980323477902539,0.006991763430415951
5pct,171,17,0.09941520467836257,14,1,Aortic enlargement,107,0.6257309941520468,2144,0.6258026853473438,7.169119529704115e-05,false,0,true,0.0028574062125541547,0.0015424580131004736
5pct,171,17,0.09941520467836257,14,2,Atelectasis,6,0.03508771929824561,130,0.03794512551079977,0.0028574062125541547,true,6,true,0.0028574062125541547,0.0015424580131004736
5pct,171,17,0.09941520467836257,14,3,Calcification,16,0.0935672514619883,314,0.09165207238762405,0.0019151790743642538,false,0,true,0.0028574062125541547,0.0015424580131004736
5pct,171,17,0.09941520467836257,14,4,Cardiomegaly,80,0.4678362573099415,1607,0.46906012842965555,0.0012238711197140595,false,0,true,0.0028574062125541547,0.0015424580131004736
5pct,171,17,0.09941520467836257,14,5,Consolidation,12,0.07017543859649122,246,0.07180385288966724,0.0016284142931760198,false,0,true,0.0028574062125541547,0.0015424580131004736
5pct,171,17,0.09941520467836257,14,6,ILD,13,0.07602339181286549,268,0.07822533566841798,0.002201943855552488,false,0,true,0.0028574062125541547,0.0015424580131004736
5pct,171,17,0.09941520467836257,14,7,Infiltration,21,0.12280701754385964,428,0.12492702860478692,0.002120011060927282,false,0,true,0.0028574062125541547,0.0015424580131004736
5pct,171,17,0.09941520467836257,14,8,Lung Opacity,46,0.26900584795321636,923,0.26941039112667836,0.00040454317346200197,false,0,true,0.0028574062125541547,0.0015424580131004736
5pct,171,17,0.09941520467836257,14,9,Nodule/Mass,29,0.1695906432748538,576,0.1681260945709282,0.0014645487039255944,false,0,true,0.0028574062125541547,0.0015424580131004736
5pct,171,17,0.09941520467836257,14,10,Other lesion,39,0.22807017543859648,791,0.23088149445417397,0.0028113190155774903,false,0,true,0.0028574062125541547,0.0015424580131004736
5pct,171,17,0.09941520467836257,14,11,Pleural effusion,36,0.21052631578947367,720,0.21015761821366025,0.0003686975758134259,false,0,true,0.0028574062125541547,0.0015424580131004736
5pct,171,17,0.09941520467836257,14,12,Pleural thickening,69,0.40350877192982454,1384,0.40396964389959134,0.00046087196976679623,false,0,true,0.0028574062125541547,0.0015424580131004736
5pct,171,17,0.09941520467836257,14,13,Pneumothorax,3,0.017543859649122806,66,0.01926444833625219,0.0017205886871293832,true,3,true,0.0028574062125541547,0.0015424580131004736
5pct,171,17,0.09941520467836257,14,14,Pulmonary fibrosis,56,0.32748538011695905,1130,0.3298307063631057,0.0023453262461466395,false,0,true,0.0028574062125541547,0.0015424580131004736
10pct,343,35,0.10204081632653061,14,1,Aortic enlargement,215,0.6268221574344023,2144,0.6258026853473438,0.0010194720870584373,false,0,true,0.0012781695114874037,0.0007462472461732155
10pct,343,35,0.10204081632653061,14,2,Atelectasis,13,0.037900874635568516,130,0.03794512551079977,4.425087523125121e-05,true,13,true,0.0012781695114874037,0.0007462472461732155
10pct,343,35,0.10204081632653061,14,3,Calcification,31,0.09037900874635568,314,0.09165207238762405,0.0012730636412683627,false,0,true,0.0012781695114874037,0.0007462472461732155
10pct,343,35,0.10204081632653061,14,4,Cardiomegaly,161,0.46938775510204084,1607,0.46906012842965555,0.00032762667238528387,false,0,true,0.0012781695114874037,0.0007462472461732155
10pct,343,35,0.10204081632653061,14,5,Consolidation,25,0.0728862973760933,246,0.07180385288966724,0.001082444486426054,false,0,true,0.0012781695114874037,0.0007462472461732155
10pct,343,35,0.10204081632653061,14,6,ILD,27,0.07871720116618076,268,0.07822533566841798,0.0004918654977627834,false,0,true,0.0012781695114874037,0.0007462472461732155
10pct,343,35,0.10204081632653061,14,7,Infiltration,43,0.12536443148688048,428,0.12492702860478692,0.0004374028820935544,false,0,true,0.0012781695114874037,0.0007462472461732155
10pct,343,35,0.10204081632653061,14,8,Lung Opacity,92,0.26822157434402333,923,0.26941039112667836,0.0011888167826550333,false,0,true,0.0012781695114874037,0.0007462472461732155
10pct,343,35,0.10204081632653061,14,9,Nodule/Mass,58,0.16909620991253643,576,0.1681260945709282,0.0009701153416082353,false,0,true,0.0012781695114874037,0.0007462472461732155
10pct,343,35,0.10204081632653061,14,10,Other lesion,79,0.2303206997084548,791,0.23088149445417397,0.0005607947457191564,false,0,true,0.0012781695114874037,0.0007462472461732155
10pct,343,35,0.10204081632653061,14,11,Pleural effusion,72,0.2099125364431487,720,0.21015761821366025,0.00024508177051155156,false,0,true,0.0012781695114874037,0.0007462472461732155
10pct,343,35,0.10204081632653061,14,12,Pleural thickening,139,0.40524781341107874,1384,0.40396964389959134,0.0012781695114874037,false,0,true,0.0012781695114874037,0.0007462472461732155
10pct,343,35,0.10204081632653061,14,13,Pneumothorax,7,0.02040816326530612,66,0.01926444833625219,0.0011437149290539315,true,7,true,0.0012781695114874037,0.0007462472461732155
10pct,343,35,0.10204081632653061,14,14,Pulmonary fibrosis,113,0.3294460641399417,1130,0.3298307063631057,0.0003846422231639779,false,0,true,0.0012781695114874037,0.0007462472461732155
20pct,685,70,0.10218978102189781,14,1,Aortic enlargement,429,0.6262773722627737,2144,0.6258026853473438,0.000474686915429845,false,0,true,0.0006626015740515689,0.00033811855241795496
20pct,685,70,0.10218978102189781,14,2,Atelectasis,26,0.03795620437956204,130,0.03794512551079977,1.1078868762275096e-05,true,26,true,0.0006626015740515689,0.00033811855241795496
20pct,685,70,0.10218978102189781,14,3,Calcification,63,0.09197080291970802,314,0.09165207238762405,0.0003187305320839773,false,0,true,0.0006626015740515689,0.00033811855241795496
20pct,685,70,0.10218978102189781,14,4,Cardiomegaly,321,0.4686131386861314,1607,0.46906012842965555,0.0004469897435241399,false,0,true,0.0006626015740515689,0.00033811855241795496
20pct,685,70,0.10218978102189781,14,5,Consolidation,49,0.07153284671532846,246,0.07180385288966724,0.0002710061743387837,false,0,true,0.0006626015740515689,0.00033811855241795496
20pct,685,70,0.10218978102189781,14,6,ILD,54,0.07883211678832117,268,0.07822533566841798,0.0006067811199031853,false,0,true,0.0006626015740515689,0.00033811855241795496
20pct,685,70,0.10218978102189781,14,7,Infiltration,86,0.12554744525547445,428,0.12492702860478692,0.0006204166506875303,false,0,true,0.0006626015740515689,0.00033811855241795496
20pct,685,70,0.10218978102189781,14,8,Lung Opacity,185,0.27007299270072993,923,0.26941039112667836,0.0006626015740515689,false,0,true,0.0006626015740515689,0.00033811855241795496
20pct,685,70,0.10218978102189781,14,9,Nodule/Mass,115,0.1678832116788321,576,0.1681260945709282,0.00024288289209609126,false,0,true,0.0006626015740515689,0.00033811855241795496
20pct,685,70,0.10218978102189781,14,10,Other lesion,158,0.23065693430656933,791,0.23088149445417397,0.0002245601476046355,false,0,true,0.0006626015740515689,0.00033811855241795496
20pct,685,70,0.10218978102189781,14,11,Pleural effusion,144,0.21021897810218979,720,0.21015761821366025,6.135988852953855e-05,false,0,true,0.0006626015740515689,0.00033811855241795496
20pct,685,70,0.10218978102189781,14,12,Pleural thickening,277,0.4043795620437956,1384,0.40396964389959134,0.00040991814420426875,false,0,true,0.0006626015740515689,0.00033811855241795496
20pct,685,70,0.10218978102189781,14,13,Pneumothorax,13,0.01897810218978102,66,0.01926444833625219,0.00028634614647116835,true,13,true,0.0006626015740515689,0.00033811855241795496
20pct,685,70,0.10218978102189781,14,14,Pulmonary fibrosis,226,0.32992700729927005,1130,0.3298307063631057,9.630093616436186e-05,false,0,true,0.0006626015740515689,0.00033811855241795496
