class_id,class_name,positive_images,negative_images,n_radiologists,rater_coverage,raw_agreement,fleiss_kappa,cohen_feasibility,fleiss_feasibility,limitation_reason
0,Aortic enlargement,3067,1827,17,uniform_count_3_per_image,0.7297,0.6393,pairwise_only_panel_gt_2,feasible,
1,Atelectasis,186,4708,17,uniform_count_3_per_image,0.9657,0.3568,pairwise_only_panel_gt_2,feasible,
2,Calcification,452,4442,17,uniform_count_3_per_image,0.9193,0.396,pairwise_only_panel_gt_2,feasible,
3,Cardiomegaly,2300,2594,17,uniform_count_3_per_image,0.7951,0.7065,pairwise_only_panel_gt_2,feasible,
4,Consolidation,353,4541,17,uniform_count_3_per_image,0.9342,0.3397,pairwise_only_panel_gt_2,feasible,
5,ILD,386,4508,17,uniform_count_3_per_image,0.9356,0.4604,pairwise_only_panel_gt_2,feasible,
6,Infiltration,613,4281,17,uniform_count_3_per_image,0.8933,0.4119,pairwise_only_panel_gt_2,feasible,
7,Lung Opacity,1322,3572,17,uniform_count_3_per_image,0.764,0.3414,pairwise_only_panel_gt_2,feasible,
8,Nodule/Mass,826,4068,17,uniform_count_3_per_image,0.8682,0.4946,pairwise_only_panel_gt_2,feasible,
9,Other lesion,1134,3760,17,uniform_count_3_per_image,0.7942,0.3024,pairwise_only_panel_gt_2,feasible,
10,Pleural effusion,1032,3862,17,uniform_count_3_per_image,0.8788,0.6711,pairwise_only_panel_gt_2,feasible,
11,Pleural thickening,1981,2913,17,uniform_count_3_per_image,0.6698,0.3583,pairwise_only_panel_gt_2,feasible,
12,Pneumothorax,96,4798,17,uniform_count_3_per_image,0.9896,0.7402,pairwise_only_panel_gt_2,feasible,
13,Pulmonary fibrosis,1617,3277,17,uniform_count_3_per_image,0.7989,0.6126,pairwise_only_panel_gt_2,feasible,
