annotation_id,image_id,category_id,canonical_class_id,x,y,width,height,area,in_bounds
1,2967,4,3,691.0,1375.0,962.0,456.0,438672.0,True
2,109,1,0,1264.0,743.0,347.0,276.0,95772.0,True
3,538,12,11,627.0,357.0,320.0,76.0,24320.0,True
4,246,6,5,1347.0,245.0,841.0,1924.0,1618084.0,True
5,1394,9,8,557.0,2352.0,118.0,132.0,15576.0,True
6,4044,1,0,1329.0,743.0,192.0,215.0,41280.0,True
7,3387,14,13,1857.0,1607.0,269.0,429.0,115401.0,True
8,2366,8,7,600.0,1332.0,303.0,191.0,57873.0,True
9,470,14,13,393.0,283.0,429.0,360.0,154440.0,True
10,977,1,0,1292.0,554.0,185.0,251.0,46435.0,True
11,2476,2,1,331.0,462.0,1053.0,1903.0,2003859.0,True
12,1789,1,0,1635.0,673.0,343.0,478.0,163954.0,True
13,4813,1,0,1390.0,878.0,226.0,285.0,64410.0,True
14,131,4,3,1044.0,1579.0,1054.0,392.0,413168.0,True
15,1027,12,11,1155.0,204.0,259.0,64.0,16576.0,True
16,654,14,13,615.0,800.0,283.0,307.0,86881.0,True
17,3755,10,9,0.0,839.0,274.0,1329.0,364146.0,True
18,3671,8,7,2233.0,1536.0,285.0,291.0,82935.0,True
19,4139,7,6,1768.0,1137.0,578.0,883.0,510374.0,True
20,2655,10,9,1898.0,850.0,503.0,1224.0,615672.0,True
21,2710,9,8,376.0,1867.0,62.0,47.0,2914.0,True
22,101,11,10,655.0,1188.0,699.0,861.0,601839.0,True
23,3651,11,10,1656.0,1510.0,907.0,1013.0,918791.0,True
24,1257,4,3,1109.0,1552.0,1307.0,481.0,628667.0,True
25,723,4,3,707.0,1316.0,1319.0,370.0,488030.0,True
26,477,4,3,862.0,1829.0,1101.0,356.0,391956.0,True
27,2431,12,11,132.0,1870.0,169.0,195.0,32955.0,True
28,3314,8,7,531.0,938.0,319.0,226.0,72094.0,True
29,2941,1,0,1148.0,491.0,207.0,255.0,52785.0,True
30,641,1,0,1433.0,792.0,266.0,372.0,98952.0,True
31,2985,11,10,1909.0,1696.0,117.0,237.0,27729.0,True
32,3994,9,8,796.0,1078.0,54.0,51.0,2754.0,True
33,4653,9,8,1202.0,1090.0,388.0,564.0,218832.0,True
34,3588,1,0,1250.0,643.0,383.0,360.0,137880.0,True
