image_id,source_relative_path,output_relative_path,source_dicom_sha256,pre_jpeg_uint8_sha256,output_jpeg_sha256,decoded_jpeg_uint8_sha256,width,height,jpeg_quality,protocol_version,protocol_sha256,decision_sha256,decoder_backend,modality_branch,voi_branch,pixel_padding_branch,presentation_branch,presentation_inversion_count,padding_pixel_count,warnings,status
0005e8e3701dfb1dd93d53e2ff537b6e,train/0005e8e3701dfb1dd93d53e2ff537b6e.dicom,train/0005e8e3701dfb1dd93d53e2ff537b6e.jpg,7d00cb7d99aee66f9790ee2e8584c04fd7f3291ff3d6da3f8b712f81fa90a008,868dd3b96fb65d545118b2654e3b5433e73e40f2b406ed341f71463f78dc847f,4726070d20503401e69ce79e38bb65e0b05b16598535bfbd17fa9b7d87d0199f,189bcb58bfad4c7bde63d715cdcb8ba5c317244c97cadc05027116c09e88cf9b,3072,3072,95,1.0.0,1528da27758d35786847141c37d0ddb754dddb146aff116a8f3a9a7b07221229,abd80508b7623caba8724e027582e69de9b524e6472f0b6051108bd5905f43f5,pydicom_native,identity,windowing,none,identity,0,0,,converted
0007d316f756b3fa0baea2ff514ce945,train/0007d316f756b3fa0baea2ff514ce945.dicom,train/0007d316f756b3fa0baea2ff514ce945.jpg,a1b1caed9a8d632a805082a48aec3ca5d37391544eaafb7ea45bfc114a2ba13b,8972dfa1910a62bc0a98a0841b3e1581a84ac338d9d60126957c8f6e6fd35d3a,2e77a84cb5919a1716469b77c84efd94a466af168738b5e1537e41ace8928d81,5f8159793b4a84159ba91c3edf231a108d3d4920f5da045eeb7c423ded16d6ef,2304,2880,95,1.0.0,1528da27758d35786847141c37d0ddb754dddb146aff116a8f3a9a7b07221229,abd80508b7623caba8724e027582e69de9b524e6472f0b6051108bd5905f43f5,pydicom_native,rescale,windowing,none,inverted,1,0,,converted
000d68e42b71d3eac10ccc077aba07c1,train/000d68e42b71d3eac10ccc077aba07c1.dicom,train/000d68e42b71d3eac10ccc077aba07c1.jpg,c6d1a5682f83ece8855870ad31a561405dcfa955f17395ddcacd5ebdb9a23f89,cb75c3c845b6b6a420e4ff5ae186e1e5b0586967f13edf122c27bda7243261ea,14e3b967e778ff9c8b4301df773c79c9179ea3e66c35b23baf531a554f39d0a7,c4b56f5780c819893ab7bcdb800afe3f5ea64111f68866c3241a8bb2faa132c7,2304,2880,95,1.0.0,1528da27758d35786847141c37d0ddb754dddb146aff116a8f3a9a7b07221229,abd80508b7623caba8724e027582e69de9b524e6472f0b6051108bd5905f43f5,pylibjpeg:pylibjpeg,rescale,windowing,none,inverted,1,0,,converted
00150343289f317a0ad5629d5b7d9ef9,train/00150343289f317a0ad5629d5b7d9ef9.dicom,train/00150343289f317a0ad5629d5b7d9ef9.jpg,c0f8ca7db12f1ce97d183e8fb78763e95053245abdad8b81a5a9bb669dbc67df,59616e7e8860d6d156b0eacd35153471746cfd198c23ee96914289fa38fc371a,3e8f3b6d907a6d8a118ed772c146c57548d04565f307f41e62699e03635c64d6,eb70273d05ee53acae2ace8ad90f7a5815b1bca0bdefab427bf4efadfc9dcd4a,2525,2508,95,1.0.0,1528da27758d35786847141c37d0ddb754dddb146aff116a8f3a9a7b07221229,abd80508b7623caba8724e027582e69de9b524e6472f0b6051108bd5905f43f5,pydicom_native,rescale,windowing,none,identity,0,0,,converted
001d127bad87592efe45a5c7678f8b8d,train/001d127bad87592efe45a5c7678f8b8d.dicom,train/001d127bad87592efe45a5c7678f8b8d.jpg,f5712618e6e9347afecaf5475f4c889a97f88e5f5285327ee0449aef45c4712b,54fd6cb5aa07ee1ef79a848683ef067b81a64f58bdbf0b68098f8c464297aabc,b2daace6c19e35ec1dbbab60f8660431cda004b88165b2b8be3e77ff653e3dc0,1f66bc42808d379668596ef012b54d0eb6a1f7573c107d0ace6067ce9dade467,3072,3072,95,1.0.0,1528da27758d35786847141c37d0ddb754dddb146aff116a8f3a9a7b07221229,abd80508b7623caba8724e027582e69de9b524e6472f0b6051108bd5905f43f5,pydicom_native,identity,windowing,none,identity,0,0,,converted
00291f7aff0123ea76a59998effef229,train/00291f7aff0123ea76a59998effef229.dicom,train/00291f7aff0123ea76a59998effef229.jpg,d724f9a3376660520b4921abe4cfa802301dee968adfce34a441e884b49bf8d5,353c404541461622bea8d086f697ee3a14d37f665a52b18140d4f6c8aa59f7c0,be0c1c71b1493101522de1a45fd1366a7864879ad0d41091ed0be6e0c83c1cf0,4e59988dcbf4aa8fbb0dda616b00b30d2ef3b215401dc83477027938aec7de43,3072,3072,95,1.0.0,1528da27758d35786847141c37d0ddb754dddb146aff116a8f3a9a7b07221229,abd80508b7623caba8724e027582e69de9b524e6472f0b6051108bd5905f43f5,pydicom_native,identity,windowing,none,identity,0,0,,converted
0046f681f078851293c4e710c4466058,train/0046f681f078851293c4e710c4466058.dicom,train/0046f681f078851293c4e710c4466058.jpg,b114017791ab08b059a8747742ab0c6d9e5c8551cd8b408f858e9495e07414e0,e28f881970d9b48b0be1cb1d7e1ba96fee2efdd82582d4645afe55cb9be9ef2d,cfd64773ecd55bc9dbb6d1c45d44dc5c3da9b5dc4809e6e41ff883af583a14bb,21b6b49bc52f5a6991835fa1b8ace9d0e7cc799a9fb9648f501083cb38545be6,2304,2880,95,1.0.0,1528da27758d35786847141c37d0ddb754dddb146aff116a8f3a9a7b07221229,abd80508b7623caba8724e027582e69de9b524e6472f0b6051108bd5905f43f5,pylibjpeg:pylibjpeg,rescale,windowing,none,inverted,1,0,,converted
004d2bc2111d639f5e8441ced52d55cb,train/004d2bc2111d639f5e8441ced52d55cb.dicom,train/004d2bc2111d639f5e8441ced52d55cb.jpg,ef7144cc0044b85cf0e3850d14dda7f651a666e23967a90a7f2575292a20c945,69b1c2ead8114b15aa1328a8fcf27c9be407365b9073e8d71b01b27ee6fc42c4,3ad6d64e7230b7168497644d3ec0130332aecafc48e887ced7b0fcccaa26754c,6987ad8b710d96e9c4c566da92c6857aa53ae868c36790d60bdd11d23d9e9d7b,2048,2500,95,1.0.0,1528da27758d35786847141c37d0ddb754dddb146aff116a8f3a9a7b07221229,abd80508b7623caba8724e027582e69de9b524e6472f0b6051108bd5905f43f5,pylibjpeg:pylibjpeg,rescale,windowing,none,identity,0,0,,converted
0061cf6d35e253b6e7f03940592cc35e,train/0061cf6d35e253b6e7f03940592cc35e.dicom,train/0061cf6d35e253b6e7f03940592cc35e.jpg,e65aefd37354c36115a68f12e99fa628745088db66dc685b036a17bce37cb761,2cde5970f4f2426dd35c2be386f1d9a1d363640d9b4b5ebdf0f427bd1220ed61,dfed9701fb25171099194b54c07f75aa256960bcc6a9c07bdef17a83380d7ed8,e8a1baf6e5072bc00cefe858822713e469611632b23881b75c512eba40890436,2540,3072,95,1.0.0,1528da27758d35786847141c37d0ddb754dddb146aff116a8f3a9a7b07221229,abd80508b7623caba8724e027582e69de9b524e6472f0b6051108bd5905f43f5,pydicom_native,identity,windowing,none,identity,0,0,,converted
00675cd546313f912cadd4ad54415d69,train/00675cd546313f912cadd4ad54415d69.dicom,train/00675cd546313f912cadd4ad54415d69.jpg,5ca2eda9fab5256a39374c7c20d78f3146fb3db996e1847d9d5506bf7d086fc9,ad74f6f266df3fd97c45be64fc309fa7d026dfaf39812fd84d852ea53e367e1a,b7d904518ff6dbeb8462968e27baf6c9bc8f054315ffdcc43700071c4da00561,354b0c8c5e3c6a557cf95465ecf6932e2bde6436895309a886ff19e51203b48f,2606,2992,95,1.0.0,1528da27758d35786847141c37d0ddb754dddb146aff116a8f3a9a7b07221229,abd80508b7623caba8724e027582e69de9b524e6472f0b6051108bd5905f43f5,pydicom_native,rescale,windowing,none,identity,0,0,,converted
008b3176a7248a0a189b5731ac8d2e95,train/008b3176a7248a0a189b5731ac8d2e95.dicom,train/008b3176a7248a0a189b5731ac8d2e95.jpg,6a30768a15f140d605ffdf7758f525d197014bb91f6fa994a07de750d5ba1ce3,5c75377b5a49408690243a866ecce2a30151c0ca395401450824a7aa6720be9e,3823dbc24e642628d2c31897894dc5049ddc1678df7612a9b309a5902acdb2ed,6d17c27c6ffc82df605c2f88a39fbf1b854784cee7c53ffc15e3680fbbca4f7f,2505,3147,95,1.0.0,1528da27758d35786847141c37d0ddb754dddb146aff116a8f3a9a7b07221229,abd80508b7623caba8724e027582e69de9b524e6472f0b6051108bd5905f43f5,pydicom_native,rescale,windowing,none,identity,0,0,,converted
