SOPClassUID,Modality,Rows,Columns,PhotometricInterpretation,TransferSyntaxUID,BitsAllocated,BitsStored,HighBit,PixelRepresentation,SamplesPerPixel,NumberOfFrames_raw,NumberOfFrames_effective,RescaleSlope,RescaleIntercept,rescale_slope_present,rescale_intercept_present,modality_lut_present,modality_lut_count,voi_lut_present,voi_lut_count,WindowCenter_all,WindowWidth_all,window_center_count,window_width_count,window_is_multivalued,VOILUTFunction,PresentationLUTShape,presentation_lut_sequence_present,presentation_lut_sequence_count,PixelPaddingValue,PixelPaddingRangeLimit,pixel_padding_value_present,pixel_padding_range_present,image_id,coco_image_id,canonical_image_id,dicom_relative_path
ABSENT,ABSENT,3072,3072,MONOCHROME2,1.2.840.10008.1.2,16,14,13,0,1,1,1,,,False,False,False,0,False,0,8483,11160,1,1,False,ABSENT,ABSENT,False,0,,,False,False,0005e8e3701dfb1dd93d53e2ff537b6e,1,0,train/0005e8e3701dfb1dd93d53e2ff537b6e.dicom
ABSENT,ABSENT,2880,2304,MONOCHROME1,1.2.840.10008.1.2,16,12,11,0,1,,1,1,0,True,True,False,0,False,0,2047,4095,1,1,False,ABSENT,ABSENT,False,0,,,False,False,0007d316f756b3fa0baea2ff514ce945,2,1,train/0007d316f756b3fa0baea2ff514ce945.dicom
ABSENT,ABSENT,2880,2304,MONOCHROME1,1.2.840.10008.1.2.4.90,16,12,11,0,1,,1,1,0,True,True,False,0,False,0,2047,4095,1,1,False,ABSENT,ABSENT,False,0,,,False,False,000d68e42b71d3eac10ccc077aba07c1,3,2,train/000d68e42b71d3eac10ccc077aba07c1.dicom
ABSENT,ABSENT,2508,2525,MONOCHROME2,1.2.840.10008.1.2,16,12,11,0,1,,1,1,0,True,True,False,0,False,0,2280,4065,1,1,False,ABSENT,ABSENT,False,0,,,False,False,00150343289f317a0ad5629d5b7d9ef9,4,3,train/00150343289f317a0ad5629d5b7d9ef9.dicom
ABSENT,ABSENT,3072,3072,MONOCHROME2,1.2.840.10008.1.2,16,14,13,0,1,1,1,,,False,False,False,0,False,0,8807,11696,1,1,False,ABSENT,ABSENT,False,0,,,False,False,001d127bad87592efe45a5c7678f8b8d,5,4,train/001d127bad87592efe45a5c7678f8b8d.dicom
ABSENT,ABSENT,3072,3072,MONOCHROME2,1.2.840.10008.1.2,16,14,13,0,1,1,1,,,False,False,False,0,False,0,9040,11288,1,1,False,ABSENT,ABSENT,False,0,,,False,False,00291f7aff0123ea76a59998effef229,6,5,train/00291f7aff0123ea76a59998effef229.dicom
ABSENT,ABSENT,2880,2304,MONOCHROME1,1.2.840.10008.1.2.4.90,16,12,11,0,1,,1,1,0,True,True,False,0,False,0,2047,4095,1,1,False,ABSENT,ABSENT,False,0,,,False,False,0046f681f078851293c4e710c4466058,7,6,train/0046f681f078851293c4e710c4466058.dicom
ABSENT,ABSENT,2500,2048,MONOCHROME2,1.2.840.10008.1.2.4.90,16,12,11,0,1,,1,1,0,True,True,False,0,False,0,2048,4096,1,1,False,ABSENT,ABSENT,False,0,,,False,False,004d2bc2111d639f5e8441ced52d55cb,8,7,train/004d2bc2111d639f5e8441ced52d55cb.dicom
ABSENT,ABSENT,3072,2540,MONOCHROME2,1.2.840.10008.1.2,16,14,13,0,1,1,1,,,False,False,False,0,False,0,8363,11384,1,1,False,ABSENT,ABSENT,False,0,,,False,False,0061cf6d35e253b6e7f03940592cc35e,9,8,train/0061cf6d35e253b6e7f03940592cc35e.dicom
ABSENT,ABSENT,2992,2606,MONOCHROME2,1.2.840.10008.1.2,16,12,11,0,1,,1,1,0,True,True,False,0,False,0,2048,4096,1,1,False,ABSENT,ABSENT,False,0,,,False,False,00675cd546313f912cadd4ad54415d69,10,9,train/00675cd546313f912cadd4ad54415d69.dicom
