image_id,photometric_interpretation,presentation_lut_shape,modality_branch,voi_branch,reference_png_relative_path,review_status
b3f4af84fa71fe204eb105ce430deef3,MONOCHROME1,ABSENT,identity,theoretical_fallback,images_jpg_pilot/reference_uint8/train/b3f4af84fa71fe204eb105ce430deef3.png,PENDING_EXPERT_REVIEW
4b001bab36d94f73c1ead3ab74690dbc,MONOCHROME1,ABSENT,identity,theoretical_fallback,images_jpg_pilot/reference_uint8/train/4b001bab36d94f73c1ead3ab74690dbc.png,PENDING_EXPERT_REVIEW
0d30dc1e0070e7a934f39452e3ad3b83,MONOCHROME1,ABSENT,identity,theoretical_fallback,images_jpg_pilot/reference_uint8/train/0d30dc1e0070e7a934f39452e3ad3b83.png,PENDING_EXPERT_REVIEW
498ac0c4815a890629cf509446a47238,MONOCHROME2,ABSENT,identity,windowing,images_jpg_pilot/reference_uint8/train/498ac0c4815a890629cf509446a47238.png,PENDING_EXPERT_REVIEW
191af4a0c5c47c05b06b88f7d6ec671d,MONOCHROME2,ABSENT,rescale,windowing,images_jpg_pilot/reference_uint8/train/191af4a0c5c47c05b06b88f7d6ec671d.png,PENDING_EXPERT_REVIEW
3fd3aa2d64f365c666ce7de3d5352226,MONOCHROME2,ABSENT,rescale,windowing,images_jpg_pilot/reference_uint8/train/3fd3aa2d64f365c666ce7de3d5352226.png,PENDING_EXPERT_REVIEW
b770403a1d0ab861f1944f8b896afcae,MONOCHROME2,ABSENT,rescale,windowing,images_jpg_pilot/reference_uint8/train/b770403a1d0ab861f1944f8b896afcae.png,PENDING_EXPERT_REVIEW
dcb081bb5e1dac41000e96fc37c8c322,MONOCHROME2,ABSENT,identity,windowing,images_jpg_pilot/reference_uint8/train/dcb081bb5e1dac41000e96fc37c8c322.png,PENDING_EXPERT_REVIEW
ff612a13f0bf475515259b986735c4e4,MONOCHROME1,ABSENT,rescale,windowing,images_jpg_pilot/reference_uint8/train/ff612a13f0bf475515259b986735c4e4.png,PENDING_EXPERT_REVIEW
18ca65f3991cd9e0339abe5d0dcdfc71,MONOCHROME2,ABSENT,rescale,windowing,images_jpg_pilot/reference_uint8/train/18ca65f3991cd9e0339abe5d0dcdfc71.png,PENDING_EXPERT_REVIEW
144e272e04daf6ac8d36548ea766da37,MONOCHROME2,ABSENT,rescale,windowing,images_jpg_pilot/reference_uint8/train/144e272e04daf6ac8d36548ea766da37.png,PENDING_EXPERT_REVIEW
f52ec4da5edc58fc2f93c00316c38fe7,MONOCHROME2,ABSENT,rescale,windowing,images_jpg_pilot/reference_uint8/train/f52ec4da5edc58fc2f93c00316c38fe7.png,PENDING_EXPERT_REVIEW
df5aa1123fb533c8865b8eaf0bb9c5c8,MONOCHROME2,ABSENT,rescale,windowing,images_jpg_pilot/reference_uint8/train/df5aa1123fb533c8865b8eaf0bb9c5c8.png,PENDING_EXPERT_REVIEW
61e0b38cea96d57adb044ac496e556ff,MONOCHROME2,ABSENT,rescale,windowing,images_jpg_pilot/reference_uint8/train/61e0b38cea96d57adb044ac496e556ff.png,PENDING_EXPERT_REVIEW
0d0e4dbe84356f8ec4a4ff7616b4850f,MONOCHROME2,ABSENT,rescale,windowing,images_jpg_pilot/reference_uint8/train/0d0e4dbe84356f8ec4a4ff7616b4850f.png,PENDING_EXPERT_REVIEW
b8322e1a06179954c5b5f5ed05083c05,MONOCHROME2,ABSENT,rescale,windowing,images_jpg_pilot/reference_uint8/train/b8322e1a06179954c5b5f5ed05083c05.png,PENDING_EXPERT_REVIEW
18ee5156937f823acee35e15110c6521,MONOCHROME2,ABSENT,rescale,windowing,images_jpg_pilot/reference_uint8/train/18ee5156937f823acee35e15110c6521.png,PENDING_EXPERT_REVIEW
2d6d1b01427ec2acbdbc2149559585fa,MONOCHROME2,ABSENT,rescale,windowing,images_jpg_pilot/reference_uint8/train/2d6d1b01427ec2acbdbc2149559585fa.png,PENDING_EXPERT_REVIEW
2a3cc19a099f06f80007cceb75d43bf0,MONOCHROME2,ABSENT,rescale,windowing,images_jpg_pilot/reference_uint8/train/2a3cc19a099f06f80007cceb75d43bf0.png,PENDING_EXPERT_REVIEW
7c42de6dd248ce53880debab2567b521,MONOCHROME2,ABSENT,rescale,windowing,images_jpg_pilot/reference_uint8/train/7c42de6dd248ce53880debab2567b521.png,PENDING_EXPERT_REVIEW
b1f71b5ef16dce633e4033237b761cdf,MONOCHROME2,ABSENT,rescale,windowing,images_jpg_pilot/reference_uint8/train/b1f71b5ef16dce633e4033237b761cdf.png,PENDING_EXPERT_REVIEW
e4dec9c7cb04e431f5c3b41430030184,MONOCHROME2,ABSENT,rescale,windowing,images_jpg_pilot/reference_uint8/train/e4dec9c7cb04e431f5c3b41430030184.png,PENDING_EXPERT_REVIEW
781337185d4b99902d0ebfd2867feab8,MONOCHROME1,ABSENT,rescale,windowing,images_jpg_pilot/reference_uint8/train/781337185d4b99902d0ebfd2867feab8.png,PENDING_EXPERT_REVIEW
c2c54eed2dd73e20ef0e5af5a4aa1feb,MONOCHROME2,ABSENT,rescale,windowing,images_jpg_pilot/reference_uint8/train/c2c54eed2dd73e20ef0e5af5a4aa1feb.png,PENDING_EXPERT_REVIEW
9378e938afe891b372d0d7a1924c7aa5,MONOCHROME2,ABSENT,identity,windowing,images_jpg_pilot/reference_uint8/train/9378e938afe891b372d0d7a1924c7aa5.png,PENDING_EXPERT_REVIEW
324c908cb345ed14be7a468a56f1ceba,MONOCHROME1,ABSENT,rescale,windowing,images_jpg_pilot/reference_uint8/train/324c908cb345ed14be7a468a56f1ceba.png,PENDING_EXPERT_REVIEW
cb8fd53c4498aa62dd48c184beb050bd,MONOCHROME1,ABSENT,rescale,windowing,images_jpg_pilot/reference_uint8/train/cb8fd53c4498aa62dd48c184beb050bd.png,PENDING_EXPERT_REVIEW
