feature,feature_kind,covered,selected_count,selected_image_ids
BitsAllocated=16,BitsAllocated,True,64,0d0e4dbe84356f8ec4a4ff7616b4850f;0d30dc1e0070e7a934f39452e3ad3b83;144e272e04daf6ac8d36548ea766da37;15acee7728e6530dfa2bd01521c7148d;18ca65f3991cd9e0339abe5d0dcdfc71;18e91ea53a6b6829c70ae2d762605c21;18ee5156937f823acee35e15110c6521;191af4a0c5c47c05b06b88f7d6ec671d;1d8f4d5daf11f2b01695b71a862aa813;21cc15968368582b548bdc50f24d1ce5;2a3cc19a099f06f80007cceb75d43bf0;2d6d1b01427ec2acbdbc2149559585fa;2fa7906cc0d122c8ef0a654409b5e1d2;324c908cb345ed14be7a468a56f1ceba;3a59363995006fd88ee83584b1e3f6e7;3fd3aa2d64f365c666ce7de3d5352226;45fad4fe08460cf9aec10986ba13c582;472b196c9371aa9d6e9d23ccf82936c2;498ac0c4815a890629cf509446a47238;4b001bab36d94f73c1ead3ab74690dbc
BitsStored=10,BitsStored,True,1,ff612a13f0bf475515259b986735c4e4
BitsStored=12,BitsStored,True,44,0d0e4dbe84356f8ec4a4ff7616b4850f;0d30dc1e0070e7a934f39452e3ad3b83;144e272e04daf6ac8d36548ea766da37;15acee7728e6530dfa2bd01521c7148d;18ca65f3991cd9e0339abe5d0dcdfc71;18e91ea53a6b6829c70ae2d762605c21;191af4a0c5c47c05b06b88f7d6ec671d;1d8f4d5daf11f2b01695b71a862aa813;21cc15968368582b548bdc50f24d1ce5;2a3cc19a099f06f80007cceb75d43bf0;2d6d1b01427ec2acbdbc2149559585fa;324c908cb345ed14be7a468a56f1ceba;3a59363995006fd88ee83584b1e3f6e7;3fd3aa2d64f365c666ce7de3d5352226;472b196c9371aa9d6e9d23ccf82936c2;4b001bab36d94f73c1ead3ab74690dbc;5156d69e540648eb952371ec5c80bc81;61e0b38cea96d57adb044ac496e556ff;6d80520d7518642b92a089b028407104;781337185d4b99902d0ebfd2867feab8
BitsStored=14,BitsStored,True,16,18ee5156937f823acee35e15110c6521;2fa7906cc0d122c8ef0a654409b5e1d2;45fad4fe08460cf9aec10986ba13c582;498ac0c4815a890629cf509446a47238;5e7edf8a5f636b67a2a854b284360cfa;63236a382e8f97864ea5af5d1c7a5d5a;7978725e43f1b301551e0fdbc32faef5;7b87ff45f630da27a103b7e587bc6fd1;9378e938afe891b372d0d7a1924c7aa5;9c9f556eea533f066368e0f4a452bee7;afb6230703512afc370f236e8fe98806;ba683c0053ad11332810ecc509b6c17b;bd24133a5c72fdd62ad820445627b718;c9e29220b5d0f9cfdb250f0872648a89;cdfac35a0800774db5fe8a6354df64ef;e99ba43b91cf30a1df2c4c4adfe7c3b1
BitsStored=16,BitsStored,True,3,513203e29fe43941076e37a945e58c36;93cb971f3c5504f1362de4367f9199d1;dcb081bb5e1dac41000e96fc37c8c322
HighBit=11,HighBit,True,44,0d0e4dbe84356f8ec4a4ff7616b4850f;0d30dc1e0070e7a934f39452e3ad3b83;144e272e04daf6ac8d36548ea766da37;15acee7728e6530dfa2bd01521c7148d;18ca65f3991cd9e0339abe5d0dcdfc71;18e91ea53a6b6829c70ae2d762605c21;191af4a0c5c47c05b06b88f7d6ec671d;1d8f4d5daf11f2b01695b71a862aa813;21cc15968368582b548bdc50f24d1ce5;2a3cc19a099f06f80007cceb75d43bf0;2d6d1b01427ec2acbdbc2149559585fa;324c908cb345ed14be7a468a56f1ceba;3a59363995006fd88ee83584b1e3f6e7;3fd3aa2d64f365c666ce7de3d5352226;472b196c9371aa9d6e9d23ccf82936c2;4b001bab36d94f73c1ead3ab74690dbc;5156d69e540648eb952371ec5c80bc81;61e0b38cea96d57adb044ac496e556ff;6d80520d7518642b92a089b028407104;781337185d4b99902d0ebfd2867feab8
HighBit=13,HighBit,True,16,18ee5156937f823acee35e15110c6521;2fa7906cc0d122c8ef0a654409b5e1d2;45fad4fe08460cf9aec10986ba13c582;498ac0c4815a890629cf509446a47238;5e7edf8a5f636b67a2a854b284360cfa;63236a382e8f97864ea5af5d1c7a5d5a;7978725e43f1b301551e0fdbc32faef5;7b87ff45f630da27a103b7e587bc6fd1;9378e938afe891b372d0d7a1924c7aa5;9c9f556eea533f066368e0f4a452bee7;afb6230703512afc370f236e8fe98806;ba683c0053ad11332810ecc509b6c17b;bd24133a5c72fdd62ad820445627b718;c9e29220b5d0f9cfdb250f0872648a89;cdfac35a0800774db5fe8a6354df64ef;e99ba43b91cf30a1df2c4c4adfe7c3b1
HighBit=15,HighBit,True,3,513203e29fe43941076e37a945e58c36;93cb971f3c5504f1362de4367f9199d1;dcb081bb5e1dac41000e96fc37c8c322
HighBit=9,HighBit,True,1,ff612a13f0bf475515259b986735c4e4
Modality=ABSENT,Modality,True,64,0d0e4dbe84356f8ec4a4ff7616b4850f;0d30dc1e0070e7a934f39452e3ad3b83;144e272e04daf6ac8d36548ea766da37;15acee7728e6530dfa2bd01521c7148d;18ca65f3991cd9e0339abe5d0dcdfc71;18e91ea53a6b6829c70ae2d762605c21;18ee5156937f823acee35e15110c6521;191af4a0c5c47c05b06b88f7d6ec671d;1d8f4d5daf11f2b01695b71a862aa813;21cc15968368582b548bdc50f24d1ce5;2a3cc19a099f06f80007cceb75d43bf0;2d6d1b01427ec2acbdbc2149559585fa;2fa7906cc0d122c8ef0a654409b5e1d2;324c908cb345ed14be7a468a56f1ceba;3a59363995006fd88ee83584b1e3f6e7;3fd3aa2d64f365c666ce7de3d5352226;45fad4fe08460cf9aec10986ba13c582;472b196c9371aa9d6e9d23ccf82936c2;498ac0c4815a890629cf509446a47238;4b001bab36d94f73c1ead3ab74690dbc
