image_id,file_name,resolved_jpeg_path,selection_reason,width,height,loaded_width,loaded_height,num_annotations,bbox_count,num_categories_present,category_names,zero_gt,near_boundary,min_bbox_area,max_bbox_area,bbox_valid_count,bbox_invalid_count,boxes_drawn,jpeg_status,overlay_artifact
1,train/0005e8e3701dfb1dd93d53e2ff537b6e.jpg,D:\ssl_detection_xray_v2\data\processed\images_jpg\train\0005e8e3701dfb1dd93d53e2ff537b6e.jpg,category_coverage:Consolidation|category_coverage:Infiltration|category_coverage:Lung Opacity|category_coverage:Nodule/Mass,3072,3072,3072,3072,5,5,4,Consolidation;Infiltration;Lung Opacity;Nodule/Mass,False,False,87185.0,91805.0,5,0,5,ok,overlay_id00001.png
2,train/0007d316f756b3fa0baea2ff514ce945.jpg,D:\ssl_detection_xray_v2\data\processed\images_jpg\train\0007d316f756b3fa0baea2ff514ce945.jpg,category_coverage:Aortic enlargement|category_coverage:Cardiomegaly|category_coverage:ILD|category_coverage:Pleural thickening|category_coverage:Pulmonary fibrosis,2304,2880,2304,2880,11,11,5,Aortic enlargement;Cardiomegaly;ILD;Pleural thickening;Pulmonary fibrosis,False,False,10812.0,194670.0,11,0,11,ok,overlay_id00002.png
3,train/000d68e42b71d3eac10ccc077aba07c1.jpg,D:\ssl_detection_xray_v2\data\processed\images_jpg\train\000d68e42b71d3eac10ccc077aba07c1.jpg,category_coverage:Other lesion|near_boundary_bbox,2304,2880,2304,2880,16,16,5,Aortic enlargement;Lung Opacity;Other lesion;Pleural thickening;Pulmonary fibrosis,False,True,1320.0,1871456.0,16,0,16,ok,overlay_id00003.png
4,train/00150343289f317a0ad5629d5b7d9ef9.jpg,D:\ssl_detection_xray_v2\data\processed\images_jpg\train\00150343289f317a0ad5629d5b7d9ef9.jpg,category_coverage:Pleural effusion,2525,2508,2525,2508,17,17,7,Aortic enlargement;Cardiomegaly;Lung Opacity;Other lesion;Pleural effusion;Pleural thickening;Pulmonary fibrosis,False,False,15360.0,320394.0,17,0,17,ok,overlay_id00004.png
5,train/001d127bad87592efe45a5c7678f8b8d.jpg,D:\ssl_detection_xray_v2\data\processed\images_jpg\train\001d127bad87592efe45a5c7678f8b8d.jpg,category_coverage:Calcification,3072,3072,3072,3072,6,6,2,Calcification;Pulmonary fibrosis,False,False,1920.0,311448.0,6,0,6,ok,overlay_id00005.png
28,train/01570ee44031e4ebab6031501293bf66.jpg,D:\ssl_detection_xray_v2\data\processed\images_jpg\train\01570ee44031e4ebab6031501293bf66.jpg,category_coverage:Atelectasis,2304,2880,2304,2880,7,7,5,Atelectasis;Cardiomegaly;Consolidation;Lung Opacity;Pulmonary fibrosis,False,False,31920.0,717992.0,7,0,7,ok,overlay_id00028.png
46,train/020717d6ab0b440b37978d9bace9f9b2.jpg,D:\ssl_detection_xray_v2\data\processed\images_jpg\train\020717d6ab0b440b37978d9bace9f9b2.jpg,category_coverage:Pneumothorax,3072,3072,3072,3072,10,10,5,Aortic enlargement;Lung Opacity;Pleural thickening;Pneumothorax;Pulmonary fibrosis,False,False,50304.0,1994142.0,10,0,10,ok,overlay_id00046.png
22,train/011244ab511b20130d846f5f8f0c3866.jpg,D:\ssl_detection_xray_v2\data\processed\images_jpg\train\011244ab511b20130d846f5f8f0c3866.jpg,fewest_bboxes,3072,3072,3072,3072,3,3,1,Cardiomegaly,False,False,381186.0,441570.0,3,0,3,ok,overlay_id00022.png
84,train/03e6ecfa6f6fb33dfeac6ca4f9b459c9.jpg,D:\ssl_detection_xray_v2\data\processed\images_jpg\train\03e6ecfa6f6fb33dfeac6ca4f9b459c9.jpg,most_bboxes,2776,2992,2776,2992,57,57,2,ILD;Nodule/Mass,False,False,2205.0,1879060.0,57,0,57,ok,overlay_id00084.png
244,train/0c6a7e3c733bd4f4d89443ca16615fc6.jpg,D:\ssl_detection_xray_v2\data\processed\images_jpg\train\0c6a7e3c733bd4f4d89443ca16615fc6.jpg,most_categories,2897,3404,2897,3404,28,28,10,Aortic enlargement;Calcification;Cardiomegaly;Consolidation;ILD;Lung Opacity;Other lesion;Pleural effusion;Pleural thickening;Pulmonary fibrosis,False,False,17015.0,1698600.0,28,0,28,ok,overlay_id00244.png
262,train/0d30dc1e0070e7a934f39452e3ad3b83.jpg,D:\ssl_detection_xray_v2\data\processed\images_jpg\train\0d30dc1e0070e7a934f39452e3ad3b83.jpg,largest_bbox_area,2080,2344,2080,2344,17,17,5,Aortic enlargement;Cardiomegaly;Nodule/Mass;Other lesion;Pneumothorax,False,False,24490.0,4575318.0,17,0,17,ok,overlay_id00262.png
1439,train/4b001bab36d94f73c1ead3ab74690dbc.jpg,D:\ssl_detection_xray_v2\data\processed\images_jpg\train\4b001bab36d94f73c1ead3ab74690dbc.jpg,smallest_bbox_area,1936,2488,1936,2488,32,32,6,ILD;Infiltration;Nodule/Mass;Pleural effusion;Pleural thickening;Pulmonary fibrosis,False,False,180.0,1146360.0,32,0,32,ok,overlay_id01439.png
6,train/00291f7aff0123ea76a59998effef229.jpg,D:\ssl_detection_xray_v2\data\processed\images_jpg\train\00291f7aff0123ea76a59998effef229.jpg,zero_gt_no_finding,3072,3072,3072,3072,0,0,0,,True,False,,,0,0,0,ok,overlay_id00006_zeroGT.png
8,train/004d2bc2111d639f5e8441ced52d55cb.jpg,D:\ssl_detection_xray_v2\data\processed\images_jpg\train\004d2bc2111d639f5e8441ced52d55cb.jpg,zero_gt_no_finding,2048,2500,2048,2500,0,0,0,,True,False,,,0,0,0,ok,overlay_id00008_zeroGT.png
14,train/00a9f697d85a506d5b281f588addce4e.jpg,D:\ssl_detection_xray_v2\data\processed\images_jpg\train\00a9f697d85a506d5b281f588addce4e.jpg,zero_gt_no_finding,2431,2992,2431,2992,0,0,0,,True,False,,,0,0,0,ok,overlay_id00014_zeroGT.png
17,train/00e25f831ccd21bd41b558cfccbf1be7.jpg,D:\ssl_detection_xray_v2\data\processed\images_jpg\train\00e25f831ccd21bd41b558cfccbf1be7.jpg,zero_gt_no_finding,2336,2836,2336,2836,0,0,0,,True,False,,,0,0,0,ok,overlay_id00017_zeroGT.png
