coco_image_id,canonical_image_id,original_image_id,file_name,is_negative,canonical_bbox_count,coco_annotation_count,count_match
1,0,0005e8e3701dfb1dd93d53e2ff537b6e,train/0005e8e3701dfb1dd93d53e2ff537b6e.dicom,False,5,5,True
2,1,0007d316f756b3fa0baea2ff514ce945,train/0007d316f756b3fa0baea2ff514ce945.dicom,False,11,11,True
3,2,000d68e42b71d3eac10ccc077aba07c1,train/000d68e42b71d3eac10ccc077aba07c1.dicom,False,16,16,True
4,3,00150343289f317a0ad5629d5b7d9ef9,train/00150343289f317a0ad5629d5b7d9ef9.dicom,False,17,17,True
5,4,001d127bad87592efe45a5c7678f8b8d,train/001d127bad87592efe45a5c7678f8b8d.dicom,False,6,6,True
6,5,00291f7aff0123ea76a59998effef229,train/00291f7aff0123ea76a59998effef229.dicom,True,0,0,True
7,6,0046f681f078851293c4e710c4466058,train/0046f681f078851293c4e710c4466058.dicom,False,11,11,True
8,7,004d2bc2111d639f5e8441ced52d55cb,train/004d2bc2111d639f5e8441ced52d55cb.dicom,True,0,0,True
9,8,0061cf6d35e253b6e7f03940592cc35e,train/0061cf6d35e253b6e7f03940592cc35e.dicom,False,7,7,True
10,9,00675cd546313f912cadd4ad54415d69,train/00675cd546313f912cadd4ad54415d69.dicom,False,6,6,True
11,10,008b3176a7248a0a189b5731ac8d2e95,train/008b3176a7248a0a189b5731ac8d2e95.dicom,False,12,12,True
12,11,009d4c31ebf87e51c5c8c160a4bd8006,train/009d4c31ebf87e51c5c8c160a4bd8006.dicom,False,9,9,True
13,12,009d837e29ba400e03856cf8d6a5b545,train/009d837e29ba400e03856cf8d6a5b545.dicom,False,5,5,True
14,13,00a9f697d85a506d5b281f588addce4e,train/00a9f697d85a506d5b281f588addce4e.dicom,True,0,0,True
15,14,00aca42a24e4ea6066cca2546150c36e,train/00aca42a24e4ea6066cca2546150c36e.dicom,False,9,9,True
16,15,00bcb82818ea83d6a86df241762cd7d0,train/00bcb82818ea83d6a86df241762cd7d0.dicom,False,5,5,True
17,16,00e25f831ccd21bd41b558cfccbf1be7,train/00e25f831ccd21bd41b558cfccbf1be7.dicom,True,0,0,True
18,17,00f2f97f74e086e1f82acc285ee4a5c5,train/00f2f97f74e086e1f82acc285ee4a5c5.dicom,False,8,8,True
19,18,010018c93ed33ae56ed048ee54867e46,train/010018c93ed33ae56ed048ee54867e46.dicom,False,18,18,True
20,19,0108949daa13dc94634a7d650a05c0bb,train/0108949daa13dc94634a7d650a05c0bb.dicom,False,6,6,True
21,20,010a3dbb67bc37800a041866844861b1,train/010a3dbb67bc37800a041866844861b1.dicom,False,8,8,True
22,21,011244ab511b20130d846f5f8f0c3866,train/011244ab511b20130d846f5f8f0c3866.dicom,False,3,3,True
23,22,0114c5cd093c742334d5a5fa14140421,train/0114c5cd093c742334d5a5fa14140421.dicom,False,9,9,True
24,23,011ae9520e81f1efe71c9d954ec07d09,train/011ae9520e81f1efe71c9d954ec07d09.dicom,False,18,18,True
25,24,013893a5fa90241c65c3efcdbdd2cec1,train/013893a5fa90241c65c3efcdbdd2cec1.dicom,False,8,8,True
26,25,014e3dd712dc90f61da7ce8747d8c4c0,train/014e3dd712dc90f61da7ce8747d8c4c0.dicom,False,3,3,True
27,26,01546d3e6175ceaabd7d92f0c566579d,train/01546d3e6175ceaabd7d92f0c566579d.dicom,False,6,6,True
28,27,01570ee44031e4ebab6031501293bf66,train/01570ee44031e4ebab6031501293bf66.dicom,False,7,7,True
29,28,015d74d7d2667a9b93b8909283af38c8,train/015d74d7d2667a9b93b8909283af38c8.dicom,True,0,0,True
30,29,015e332b702e4829710941ab7265bd1d,train/015e332b702e4829710941ab7265bd1d.dicom,False,5,5,True
31,30,0162dad8330007f8f0daf43bcf4033f1,train/0162dad8330007f8f0daf43bcf4033f1.dicom,False,7,7,True
32,31,0187da5fd71c7a2917346bf12a67bbe4,train/0187da5fd71c7a2917346bf12a67bbe4.dicom,False,3,3,True
33,32,01892129d76aaa1f59d4b22df8a14c0b,train/01892129d76aaa1f59d4b22df8a14c0b.dicom,True,0,0,True
